J11-09,B13-LN11,V7,
J11-13,B13-LN12,U10,
J11-19,B13-LN13,Y6,
J11-18,B13-LN14,Y8,
J11-23,B13-LN15,W8,
J11-22,B13-LN21,V10,
J11-07,B13-LP11,U7,
J11-11,B13-LP12,T9,
J11-17,B13-LP13,Y7,
J11-16,B13-LP14,Y9,
J11-21,B13-LP15,V8,
J11-20,B13-LP21,V11,
J11-28,B34-LN01,T10,
J11-29,B34-LN02,U12,
J11-32,B34-LN03,V13,
J11-33,B34-LN04,W13,
J11-38,B34-LN05,T15,
J11-39,B34-LN06,R14,LED-RED
J11-42,B34-LN07,Y17,LED-BLU
J11-43,B34-LN08,Y14,
J11-47,B34-LN11,U15,
J11-26,B34-LP01,T11,
J11-27,B34-LP02,T12,
J11-30,B34-LP03,U13,
J11-31,B34-LP04,V12,
J11-36,B34-LP05,T14,
J11-37,B34-LP06,P14,
J11-40,B34-LP07,Y16,LED-GRN
J11-41,B34-LP08,W14,
J11-45,B34-LP11,U14,12MHz OSC
J12-25,B35-LN01,B20,
J12-24,B35-LN02,A20,
J12-29,B35-LN03,D18,
J12-28,B35-LN04,D20,
J12-35,B35-LN05,E19,
J12-34,B35-LN06,F17,
J12-39,B35-LN07,M20,
J12-38,B35-LN08,M18,
J12-45,B35-LN09,L20,
J12-44,B35-LN10,J19,
J12-49,B35-LN11,L17,
J12-48,B35-LN12,K18,
J12-55,B35-LN13,H17,
J12-54,B35-LN14,H18,
J12-59,B35-LN15,F20,
J12-58,B35-LN16,G18,
J12-65,B35-LN17,H20,
J12-64,B35-LN18,G20,
J12-69,B35-LN19,G15,
J12-68,B35-LN20,J14,
J12-75,B35-LN21,N16,
J12-74,B35-LN22,L15,
J12-79,B35-LN23,M15,
J12-78,B35-LN24,J16,
J12-23,B35-LP01,C20,
J12-22,B35-LP02,B19,
J12-27,B35-LP03,E17,
J12-26,B35-LP04,D19,
J12-33,B35-LP05,E18,
J12-32,B35-LP06,F16,
J12-37,B35-LP07,M19,
J12-36,B35-LP08,M17,
J12-43,B35-LP09,L19,
J12-42,B35-LP10,K19,
J12-47,B35-LP11,L16,
J12-46,B35-LP12,K17,
J12-53,B35-LP13,H16,
J12-52,B35-LP14,J18,
J12-57,B35-LP15,F19,
J12-56,B35-LP16,G17,
J12-63,B35-LP17,J20,
J12-62,B35-LP18,G19,
J12-67,B35-LP19,H15,
J12-66,B35-LP20,K14,
J12-73,B35-LP21,N15,
J12-72,B35-LP22,L14,
J12-77,B35-LP23,M14,
J12-76,B35-LP24,K16,
J11-51,LCD-DATA00,T16,
J11-53,LCD-DATA01,U17,
J11-46,LCD-DATA02,V15,
J11-48,LCD-DATA03,W15,
J11-55,LCD-DATA04,U18,
J11-57,LCD-DATA05,U19,
J11-50,LCD-DATA06,N18,
J11-52,LCD-DATA07,P19,
J11-59,LCD-DATA08,N20,
J11-61,LCD-DATA09,P20,
J11-56,LCD-DATA10,T20,
J11-58,LCD-DATA11,U20,
J11-63,LCD-DATA12,V20,
J11-65,LCD-DATA13,W20,
J11-60,LCD-DATA14,Y18,
J11-62,LCD-DATA15,Y19,
J11-64,LCD-DE,R16,
J11-69,LCD-HSYNC,W16,
J11-66,LCD-PCLK,R17,
J11-70,LCD-VSYNC,V16,
